,date,trips,duration,gender_0_%,gender_1_%,gender_2_%
0,2014-02-01,12771,820.277,5.83,71.08,23.09
1,2014-02-02,13816,824.294,7.09,68.41,24.51
2,2014-02-03,2600,797.543,0.85,85.19,13.96
3,2014-02-04,8709,752.54,0.98,81.23,17.8
4,2014-02-05,2746,925.341,0.95,84.52,14.53
5,2014-02-06,7196,1040.816,1.01,83.06,15.93
6,2014-02-07,8495,1048.946,0.8,82.7,16.5
7,2014-02-08,5986,1042.662,1.94,77.61,20.45
8,2014-02-09,4996,1027.325,1.88,76.6,21.52
9,2014-02-10,6846,864.234,0.61,83.09,16.3
10,2014-02-11,8343,987.083,0.54,82.46,17.0
11,2014-02-12,8580,844.885,0.58,82.41,17.0
12,2014-02-13,876,4866.605,0.34,88.81,10.84
13,2014-02-14,3609,1734.371,0.94,84.65,14.41
14,2014-02-15,2261,1101.028,2.12,78.99,18.89
15,2014-02-16,3003,1280.808,2.9,78.55,18.55
16,2014-02-17,4854,967.101,2.08,79.89,18.03
17,2014-02-18,5140,877.762,0.97,84.07,14.96
18,2014-02-19,8506,849.48,0.93,82.18,16.89
19,2014-02-20,11792,814.386,1.63,81.29,17.08
20,2014-02-21,8680,705.277,1.5,81.96,16.54
21,2014-02-22,13044,988.282,10.79,67.24,21.96
22,2014-02-23,13324,934.892,10.82,66.06,23.12
23,2014-02-24,12922,755.235,1.75,80.44,17.81
24,2014-02-25,12830,686.075,1.54,80.94,17.51
25,2014-02-26,11188,664.357,1.08,82.81,16.11
26,2014-02-27,12036,630.758,1.19,82.34,16.48
27,2014-02-28,9587,665.425,1.3,82.17,16.52
