,date,trips,duration,gender_0_%,gender_1_%,gender_2_%
0,2013-12-01,13326,813.499,8.46,68.27,23.28
1,2013-12-02,24576,742.96,2.78,76.27,20.94
2,2013-12-03,27431,730.122,2.46,75.94,21.59
3,2013-12-04,28199,736.196,2.77,75.8,21.44
4,2013-12-05,26988,743.027,3.18,76.02,20.79
5,2013-12-06,10736,697.316,2.17,79.35,18.48
6,2013-12-07,15545,733.829,6.79,69.66,23.55
7,2013-12-08,10090,730.349,4.56,71.96,23.48
8,2013-12-09,14824,643.125,1.87,78.82,19.31
9,2013-12-10,12850,693.234,1.36,81.06,17.58
10,2013-12-11,18766,717.659,1.53,78.74,19.73
11,2013-12-12,17214,687.682,1.35,79.35,19.3
12,2013-12-13,17888,723.401,2.2,78.57,19.23
13,2013-12-14,3701,723.322,2.86,79.52,17.62
14,2013-12-15,7462,913.569,2.32,75.85,21.83
15,2013-12-16,15562,673.341,1.5,80.23,18.27
16,2013-12-17,7863,733.437,1.03,82.68,16.29
17,2013-12-18,14924,689.154,1.59,80.82,17.6
18,2013-12-19,18766,674.56,1.92,79.33,18.75
19,2013-12-20,22066,845.072,3.75,77.67,18.58
20,2013-12-21,17940,868.587,11.97,65.92,22.11
21,2013-12-22,15063,904.219,12.08,66.22,21.7
22,2013-12-23,6956,713.159,3.52,79.46,17.02
23,2013-12-24,11025,764.162,4.37,75.76,19.87
24,2013-12-25,3260,825.244,12.88,68.01,19.11
25,2013-12-26,9763,716.104,4.26,76.76,18.98
26,2013-12-27,11720,746.162,6.61,74.72,18.67
27,2013-12-28,12022,975.366,17.58,62.29,20.12
28,2013-12-29,3775,729.411,7.39,73.77,18.83
29,2013-12-30,13241,740.907,6.64,74.79,18.57
30,2013-12-31,10424,794.354,5.35,75.04,19.61
